product_name,price,old_price,difference,percentage_difference,price_per_unit,promo_description,category,purchasable,page
Capsules Lave-vaisselle Propreté Intense Platinum Plus FAIRY,8.81,13.35,4.54,34.01,,PROMO : 34%,,True,9
Tapenade bio noire JEAN MARTIN,3.74,4.99,1.25,25.05,34.00 € / KG,1 acheté = 25% de remise,,True,10
Champignons noirs séchés EAT THE WORLD,2.04,2.55,0.51,20.0,40.80 € / KG,PROMO : 20%,,True,10
Eau gazeuse minérale naturelle finement pétillante Verte BADOIT,4.14,,,,,Le 2ème à -50%,,True,10
Capsules Lave-vaisselle Propreté Intense Platinum Plus FAIRY,8.81,13.35,4.54,34.01,,PROMO : 34%,,True,10
Eau gazeuse minérale naturelle finement pétillante Verte BADOIT,4.14,,,,,Le 2ème à -50%,,True,11
Lessive capsules Original ARIEL,13.51,15.89,2.38,14.98,,1 acheté = 15% de remise,,True,11
Capsules Lave-vaisselle Citron Tout en 1+ FAIRY,9.47,14.35,4.88,34.01,,PROMO : 34%,,True,11
Eau gazeuse minérale naturelle finement pétillante Verte BADOIT,4.14,,,,,Le 2ème à -50%,,True,12
Capsules Lave-vaisselle Citron Tout en 1+ FAIRY,9.47,14.35,4.88,34.01,,PROMO : 34%,,True,12
Eau gazeuse minérale naturelle finement pétillante Verte BADOIT,4.14,,,,,Le 2ème à -50%,,True,13
Lessive capsules Couleurs Eclatantes ARIEL,13.51,15.89,2.38,14.98,,1 acheté = 15% de remise,,True,13
Capsules Lave-vaisselle Tout en 1 Original FAIRY,9.47,14.35,4.88,34.01,,PROMO : 34%,,True,13
Eau gazeuse minérale naturelle finement pétillante Verte BADOIT,4.14,,,,,Le 2ème à -50%,,True,14
Capsules Lave-vaisselle Propreté Intense Platinum Plus FAIRY,8.81,13.35,4.54,34.01,,PROMO : 34%,,True,14
Brosse à dents Électrique IO Series 3S ORAL B,93.9,,,,,70% d'économies,,True,14
Capsules Lave-vaisselle Tout en 1 Original FAIRY,9.47,14.35,4.88,34.01,,PROMO : 34%,,True,15
Eau gazeuse minérale naturelle finement pétillante Verte BADOIT,4.14,,,,,Le 2ème à -50%,,True,15
Citron vert,0.59,,,,0.59 € / U,4 achetés = 2€,,True,15
Capsules Lave-vaisselle Propreté Intense Platinum Plus FAIRY,8.81,13.35,4.54,34.01,,PROMO : 34%,,True,15
Eau gazeuse minérale naturelle finement pétillante Verte BADOIT,4.14,,,,,Le 2ème à -50%,,True,16
Lessive capsules Couleurs Eclatantes ARIEL,13.51,15.89,2.38,14.98,,1 acheté = 15% de remise,,True,16
Brosse à dents Électrique IO Series 3S ORAL B,93.9,,,,,70% d'économies,,True,16
Laurier frais,0.99,,,,0.99 € / U,"2 achetés = 1,5€",,True,17
Persil frisé,0.99,,,,0.99 € / U,"2 achetés = 1,5€",,True,17
Aneth fraîche,0.99,,,,0.99 € / U,"2 achetés = 1,5€",,True,17
Ciboulette fraîche,0.99,,,,0.99 € / U,"2 achetés = 1,5€",,True,17
Basilic frais,0.99,,,,0.99 € / U,"2 achetés = 1,5€",,True,17
Coriandre fraîche,0.99,,,,0.99 € / U,"2 achetés = 1,5€",,True,17
Persil plat,0.99,,,,0.99 € / U,"2 achetés = 1,5€",,True,17
Menthe fraîche,0.99,,,,0.99 € / U,"2 achetés = 1,5€",,True,17
Lessive capsules Original ARIEL,13.51,15.89,2.38,14.98,,1 acheté = 15% de remise,,True,17
Eau gazeuse minérale naturelle finement pétillante Verte BADOIT,4.14,,,,,Le 2ème à -50%,,True,17
Capsules Lave-vaisselle Anti-Terne Citron Platinum Plus FAIRY,8.81,13.35,4.54,34.01,,PROMO : 34%,,True,18
Eau gazeuse minérale naturelle finement pétillante Verte BADOIT,4.14,,,,,Le 2ème à -50%,,True,18
Lessive capsules Couleurs Eclatantes ARIEL,13.51,15.89,2.38,14.98,,1 acheté = 15% de remise,,True,18
Capsules Lave-vaisselle Tout en 1 Original FAIRY,9.47,14.35,4.88,34.01,,PROMO : 34%,,True,18
Lessive capsules Original ARIEL,13.51,15.89,2.38,14.98,,1 acheté = 15% de remise,,True,18
Lessive capsules Original ARIEL,13.51,15.89,2.38,14.98,,1 acheté = 15% de remise,,True,19
Eau gazeuse minérale naturelle finement pétillante Verte BADOIT,4.14,,,,,Le 2ème à -50%,,True,19
Brosse à dents Électrique IO Series 3S ORAL B,93.9,,,,,70% d'économies,,True,19
Eau gazeuse minérale naturelle finement pétillante Verte BADOIT,4.14,,,,,Le 2ème à -50%,,True,20
Brosse à dents Électrique IO Series 3S ORAL B,93.9,,,,,70% d'économies,,True,20
Capsules Lave-vaisselle Citron Tout en 1+ FAIRY,9.47,14.35,4.88,34.01,,PROMO : 34%,,True,20
Eau gazeuse minérale naturelle finement pétillante Verte BADOIT,4.14,,,,,Le 2ème à -50%,,True,21
Lessive capsules Couleurs Eclatantes ARIEL,13.51,15.89,2.38,14.98,,1 acheté = 15% de remise,,True,21
Capsules Lave-vaisselle Anti-Terne Platinum Plus FAIRY,8.81,13.35,4.54,34.01,,PROMO : 34%,,True,21
